Categoria;Id;Id Adicional;Cod.Barras;Producto;Ventas;SubTotal;Impuestos;Total;SubTotal Coste;Beneficio
"OFERTAS Y MENU";"00130";"";"0";"ZUMO O CACAOLAT + PASTA";"5";"17,27";"1,73";"19";"0";"17,27";
"DESAYUNOS";"00007";"";"0";"ZUMO";"6";"13,64";"1,36";"15";"0";"13,64";
"REFRESCOS";"00156";"";"0";"ZUMO";"50";"113,64";"11,36";"125";"0";"113,64";
"CERVEZA";"00117";"";"0";"XIBECA LATA";"5";"7,95";"0,8";"8,75";"0";"7,95";
"CERVEZA";"00114";"";"0";"VOLL DAM BOTELLA";"37";"87,45";"8,75";"96,2";"0";"87,45";
"VINOS Y CAVAS";"00338";"";"0";"Vino Heredad de Pe√±alosa tinto roble Ribera del Duero";"2";"20,91";"2,09";"23";"0";"20,91";
"VINOS Y CAVAS";"00334";"";"0";"Vino Candium Rueda verdejo";"2";"20,91";"2,09";"23";"0";"20,91";
"REFRESCOS";"00150";"";"0";"VICHY CATALAN";"52";"94,55";"9,45";"104";"0";"94,55";
"COPAS LICOR";"00288";"";"0";"Veterano";"1";"2,55";"0,25";"2,8";"0";"2,55";
"CHUPITOS";"00185";"";"0";"Veterano";"1";"2,09";"0,21";"2,3";"0";"2,09";
"APERITIVOS";"00384";;"0";"VERMUT";"44";"138,64";"13,86";"152,5";"0";"138,64";
"BOCADILLOS CALIENTES";"00074";"";"0";"VEGETAL DE POLLO PEQ.";"5";"15,91";"1,59";"17,5";"0";"15,91";
"BOCADILLOS CALIENTES";"00075";"";"0";"VEGETAL DE POLLO MEDIO";"39";"232,27";"23,23";"255,5";"0";"232,27";
"BOCADILLOS CALIENTES";"00076";"";"0";"VEGETAL DE POLLO ENTERO";"6";"62,27";"6,23";"68,5";"0";"62,27";
"BOCADILLOS CALIENTES";"00077";"";"0";"VEGETAL DE ATUN PEQ.";"7";"22,27";"2,23";"24,5";"0";"22,27";
"BOCADILLOS CALIENTES";"00078";"";"0";"VEGETAL DE ATUN MEDIO";"14";"82,73";"8,27";"91";"0";"82,73";
"BOCADILLOS CALIENTES";"00079";"";"0";"VEGETAL DE ATUN ENTERO";"2";"18,18";"1,82";"20";"0";"18,18";
"HELADOS";"00343";"";"0";"Vainilla chocolate 125 ml.";"10";"18,91";"1,89";"20,8";"0";"18,91";
"HELADOS";"00345";"";"0";"Vainilla Choco S/Az√∫car 125 ml.";"2";"2,91";"0,29";"3,2";"0";"2,91";
"HELADOS";"00347";"";"0";"Turr√≥n 125 ml.";"15";"34,77";"3,48";"38,25";"0";"34,77";
"CAF…";"00091";"";"0";"TRIFASICO";"5";"10";"1";"11";"0";"10";
"BOCADILLOS CALIENTES";"00062";"";"0";"TORTILLA PATATA PEQ.";"1";"2,91";"0,29";"3,2";"0";"2,91";
"BOCADILLOS CALIENTES";"00063";"";"0";"TORTILLA PATATA MEDIO";"10";"53";"5,3";"58,3";"0";"53";
"BOCADILLOS CALIENTES";"00064";"";"0";"TORTILLA PATATA ENTERO";"2";"16,82";"1,68";"18,5";"0";"16,82";
"BOCADILLOS CALIENTES";"00060";"";"0";"TORTILLA FRANCESA MEDIO";"77";"387,27";"38,73";"426";"0";"387,27";
"BOCADILLOS CALIENTES";"00061";"";"0";"TORTILLA FRANCESA ENTERO";"9";"77,27";"7,73";"85";"0";"77,27";
"TAPAS";"00022";"";"0";"TORREZNOS";"35";"175";"17,5";"192,5";"0";"175";
"BOCADILLOS CALIENTES";"00059";"";"0";"TORILLA FRANCESA PEQ";"25";"68,18";"6,82";"75";"0";"68,18";
"REFRESCOS";"00383";;"0";"T”NICA";"16";"32";"3,2";"35,2";"0";"32";
"COPAS LICOR";"00282";"";"0";"Terry";"1";"2,55";"0,25";"2,8";"0";"2,55";
"CHUPITOS";"00178";"";"0";"Terry";"1";"2,73";"0,27";"3";"0";"2,73";
"CHUPITOS";"00187";"";"0";"Tequila Jos√≠¬© Cuervo";"4";"8,36";"0,84";"9,2";"0";"8,36";
"EXTRAS";"00172";"";"0";"SUPL. REDBULL COMBINADO";"5";"4,55";"0,45";"5";"0";"4,55";
"EXTRAS";"00167";"";"0";"SUPL. LECHE ESPECIAL";"3";"0,59";"0,06";"0,65";"0";"0,59";
"EXTRAS";"00170";"";"0";"SUPL. ESPECIAL MEDIO";"24";"23,18";"2,32";"25,5";"0";"23,18";
"EXTRAS";"00171";"";"0";"SUPL. ESPECIAL ENTERO";"34";"60,91";"6,09";"67";"0";"60,91";
"EXTRAS";"00168";"";"0";"SUPL. BASICO MEDIO";"334";"170,45";"17,05";"187,5";"0";"170,45";
