Categoria;Ventas;SubTotal;Impuestos;Total;SubTotal Coste;Beneficio
"BOCADILLOS CALIENTES";"431";"2451,55";"245,15";"2696,7";"0";"2451,55";
"CERVEZA";"1150";"2220,18";"222,02";"2442,2";"0";"2220,18";
"CAFÉ";"1252";"1748,18";"174,82";"1923";"0";"1748,18";
"TAPAS";"255";"1493,09";"149,31";"1642,4";"0";"1493,09";
"PLATOS COMBINADOS";"140";"1326,36";"132,64";"1459";"0";"1326,36";
"REFRESCOS";"665";"1249,09";"124,91";"1374";"0";"1249,09";
"OFERTAS Y MENU";"288";"909,67";"90,97";"1000,64";"0";"909,67";
"VINOS Y CAVAS";"123";"356,36";"35,64";"392";"0";"356,36";
"BOCADILLOS FRIOS";"86";"326";"32,6";"358,6";"0";"326";
"BURGUER Y PIZZA";"25";"264,09";"26,41";"290,5";"0";"264,09";
"EXTRAS";"223";"155,23";"15,52";"170,75";"0";"155,23";
"CHUPITOS";"71";"147,36";"14,74";"162,1";"0";"147,36";
"APERITIVOS";"33";"92,27";"9,23";"101,5";"0";"92,27";
"COPAS LICOR";"45";"91,55";"9,15";"100,7";"0";"91,55";
"CAFÉG";"55";"79,91";"7,99";"87,91";"0";"79,91";
"CUBATAS";"13";"71,82";"7,18";"79";"0";"71,82";
"DESAYUNOS";"109";"67,36";"6,74";"74,1";"0";"67,36";
"HELADOS";"22";"50,18";"5,02";"55,2";"0";"50,18";
"COPAS HIELO LICOR";"12";"37,27";"3,73";"41";"0";"37,27";
