Categoria;Id;Id Adicional;Cod.Barras;Producto;Ventas;SubTotal;Impuestos;Total;SubTotal Coste;Beneficio
"OFERTAS Y MENU";"00130";"";"0";"ZUMO O CACAOLAT + PASTA";"4";"13,82";"1,38";"15,2";"0";"13,82";
"REFRESCOS";"00156";"";"0";"ZUMO";"24";"54,55";"5,45";"60";"0";"54,55";
"CERVEZA";"00114";"";"0";"VOLL DAM BOTELLA";"31";"73,27";"7,33";"80,6";"0";"73,27";
"VINOS Y CAVAS";"00337";"";"0";"Vino Roig i Virgili Souvignon limitada";"2";"4";"0,4";"4,4";"0";"4";
"VINOS Y CAVAS";"00336";"";"0";"Vino Roig i Virgili Cabernet Souvignon";"3";"7,18";"0,72";"7,9";"0";"7,18";
"VINOS Y CAVAS";"00335";"";"0";"Vino Roig i Virgili blanc PenedÃ­Â¨s";"5";"17,91";"1,79";"19,7";"0";"17,91";
"VINOS Y CAVAS";"00339";"";"0";"Vino Cantos de Valpiedra Rioja";"3";"17,27";"1,73";"19";"0";"17,27";
"VINOS Y CAVAS";"00334";"";"0";"Vino Candium Rueda verdejo";"3";"6,27";"0,63";"6,9";"0";"6,27";
"REFRESCOS";"00150";"";"0";"VICHY CATALAN";"15";"29,55";"2,95";"32,5";"0";"29,55";
"APERITIVOS";"00384";;"0";"VERMUT";"20";"63,64";"6,36";"70";"0";"63,64";
"BOCADILLOS CALIENTES";"00074";"";"0";"VEGETAL DE POLLO PEQ.";"6";"19,09";"1,91";"21";"0";"19,09";
"BOCADILLOS CALIENTES";"00075";"";"0";"VEGETAL DE POLLO MEDIO";"22";"130";"13";"143";"0";"130";
"BOCADILLOS CALIENTES";"00076";"";"0";"VEGETAL DE POLLO ENTERO";"6";"59,55";"5,95";"65,5";"0";"59,55";
"BOCADILLOS CALIENTES";"00078";"";"0";"VEGETAL DE ATUN MEDIO";"10";"60,91";"6,09";"67";"0";"60,91";
"BOCADILLOS CALIENTES";"00079";"";"0";"VEGETAL DE ATUN ENTERO";"1";"10,91";"1,09";"12";"0";"10,91";
"HELADOS";"00343";"";"0";"Vainilla chocolate 125 ml.";"3";"6";"0,6";"6,6";"0";"6";
"HELADOS";"00345";"";"0";"Vainilla Choco S/AzÃºcar 125 ml.";"1";"2";"0,2";"2,2";"0";"2";
"HELADOS";"00347";"";"0";"TurrÃ³n 125 ml.";"7";"16,23";"1,62";"17,85";"0";"16,23";
"CAFÉ";"00091";"";"0";"TRIFASICO";"3";"6";"0,6";"6,6";"0";"6";
"BOCADILLOS CALIENTES";"00062";"";"0";"TORTILLA PATATA PEQ.";"4";"11,64";"1,16";"12,8";"0";"11,64";
"BOCADILLOS CALIENTES";"00063";"";"0";"TORTILLA PATATA MEDIO";"11";"57";"5,7";"62,7";"0";"57";
"BOCADILLOS CALIENTES";"00064";"";"0";"TORTILLA PATATA ENTERO";"4";"38,18";"3,82";"42";"0";"38,18";
"BOCADILLOS CALIENTES";"00060";"";"0";"TORTILLA FRANCESA MEDIO";"32";"160";"16";"176";"0";"160";
"BOCADILLOS CALIENTES";"00061";"";"0";"TORTILLA FRANCESA ENTERO";"7";"60";"6";"66";"0";"60";
"TAPAS";"00022";"";"0";"TORREZNOS";"23";"115";"11,5";"126,5";"0";"115";
"CHUPITOS";"00207";"";"0";"Torres 10";"2";"4,36";"0,44";"4,8";"0";"4,36";
"BOCADILLOS CALIENTES";"00059";"";"0";"TORILLA FRANCESA PEQ";"5";"13,64";"1,36";"15";"0";"13,64";
"REFRESCOS";"00383";;"0";"TÓNICA";"3";"6";"0,6";"6,6";"0";"6";
"CHUPITOS";"00187";"";"0";"Tequila JosÃ­Â© Cuervo";"2";"4,18";"0,42";"4,6";"0";"4,18";
"EXTRAS";"00172";"";"0";"SUPL. REDBULL COMBINADO";"4";"3,64";"0,36";"4";"0";"3,64";
"EXTRAS";"00167";"";"0";"SUPL. LECHE ESPECIAL";"5";"3,41";"0,34";"3,75";"0";"3,41";
"EXTRAS";"00170";"";"0";"SUPL. ESPECIAL MEDIO";"5";"5,91";"0,59";"6,5";"0";"5,91";
"EXTRAS";"00171";"";"0";"SUPL. ESPECIAL ENTERO";"10";"18,18";"1,82";"20";"0";"18,18";
"EXTRAS";"00168";"";"0";"SUPL. BASICO MEDIO";"162";"83,64";"8,36";"92";"0";"83,64";
"EXTRAS";"00169";"";"0";"SUPL. BASICO ENTERO";"37";"40,45";"4,05";"44,5";"0";"40,45";
"HELADOS";"00359";"";"0";"Supermack Cookie 150 ml.";"1";"2,91";"0,29";"3,2";"0";"2,91";
"COPAS LICOR";"00261";"";"0";"Sol Y Sombra";"1";"2,27";"0,23";"2,5";"0";"2,27";
"TAPAS";"00018";"";"0";"SEVILLANOS";"20";"172,73";"17,27";"190";"0";"172,73";
"BOCADILLOS CALIENTES";"00068";"";"0";"SERRANITO PEQ.";"5";"15,91";"1,59";"17,5";"0";"15,91";
"BOCADILLOS CALIENTES";"00069";"";"0";"SERRANITO MEDIO";"34";"200,91";"20,09";"221";"0";"200,91";
"BOCADILLOS CALIENTES";"00070";"";"0";"SERRANITO ENTERO";"14";"133,64";"13,36";"147";"0";"133,64";
"CUBATAS";"00325";"";"0";"Seagram`s";"1";"5,91";"0,59";"6,5";"0";"5,91";
"BOCADILLOS CALIENTES";"00392";;"0";"SALCHICHA MEDIO";"2";"10";"1";"11";"0";"10";
"BOCADILLOS CALIENTES";"00393";;"0";"SALCHICHA GRANDE";"1";"7,27";"0,73";"8";"0";"7,27";
"CUBATAS";"00316";"";"0";"Ron Pujol";"4";"21,82";"2,18";"24";"0";"21,82";
"CERVEZA";"00116";"";"0";"REPOSADA";"9";"22,91";"2,29";"25,2";"0";"22,91";
"REFRESCOS";"00158";"";"0";"REFRESCO LATA OTRO";"18";"36";"3,6";"39,6";"0";"36";
"REFRESCOS";"00155";"";"0";"REDBULL";"5";"13,18";"1,32";"14,5";"0";"13,18";
"TAPAS";"00010";"";"0";"RACION DE FRITAS";"1";"3,64";"0,36";"4";"0";"3,64";
"TAPAS";"00017";"";"0";"RABO DE TORO";"8";"61,82";"6,18";"68";"0";"61,82";
"CERVEZA";"00102";"";"0";"QUINTO";"264";"384";"38,4";"422,4";"0";"384";
"BOCADILLOS FRIOS";"00373";"";"0";"QUESO MANCHEGO PEQ.";"3";"8,18";"0,82";"9";"0";"8,18";
"BOCADILLOS FRIOS";"00035";"";"0";"QUESO MANCHEGO MEDIO";"8";"34,18";"3,42";"37,6";"0";"34,18";
"TAPAS";"00019";"";"0";"POLLO AMERICAN CRYSPY";"5";"34,09";"3,41";"37,5";"0";"34,09";
"BOCADILLOS CALIENTES";"00065";"";"0";"PINCHO MORUNO PEQ.";"2";"5,45";"0,55";"6";"0";"5,45";
"BOCADILLOS CALIENTES";"00066";"";"0";"PINCHO MORUNO MEDIO";"14";"70";"7";"77";"0";"70";
"BOCADILLOS CALIENTES";"00067";"";"0";"PINCHO MORUNO ENTERO";"1";"9,09";"0,91";"10";"0";"9,09";
"TAPAS";"00023";"";"0";"PINCHO MORUNO";"4";"25,45";"2,55";"28";"0";"25,45";
"TAPAS";"00013";"";"0";"PINCHO DE TORTILLA";"12";"60";"6";"66";"0";"60";
"BOCADILLOS CALIENTES";"00071";"";"0";"PEPITO PEQ.";"2";"6,36";"0,64";"7";"0";"6,36";
"BOCADILLOS CALIENTES";"00072";"";"0";"PEPITO MEDIO";"9";"53,18";"5,32";"58,5";"0";"53,18";
"BOCADILLOS CALIENTES";"00073";"";"0";"PEPITO ENTERO";"3";"29,55";"2,95";"32,5";"0";"29,55";
